Country Name;Country Code;2018
Aruba;ABW;180
Afghanistan;AFG;652860
Angola;AGO;1246700
Albania;ALB;27400
Andorra;AND;470
Arab World;ARB;13081763.715
United Arab Emirates;ARE;71020
Argentina;ARG;2736690
Armenia;ARM;28470
American Samoa;ASM;200
Antigua and Barbuda;ATG;440
Australia;AUS;7692020
Austria;AUT;82520
Azerbaijan;AZE;82654
Burundi;BDI;25680
Belgium;BEL;30280
Benin;BEN;112760
Burkina Faso;BFA;273600
Bangladesh;BGD;130170
Bulgaria;BGR;108560
Bahrain;BHR;780
Bahamas; The;10010
Bosnia and Herzegovina;BIH;51200
Belarus;BLR;202980
Belize;BLZ;22810
Bermuda;BMU;54
Bolivia;BOL;1083300
Brazil;BRA;8358140
Barbados;BRB;430
Brunei Darussalam;BRN;5270
Bhutan;BTN;38140
Botswana;BWA;566730
Central African Republic;CAF;622980
Canada;CAN;8965590
Central Europe and the Baltics;CEB;1106266.4
Switzerland;CHE;39516.03
Channel Islands;CHI;198
Chile;CHL;743532
China;CHN;9424702.9
Cote d'Ivoire;CIV;318000
Cameroon;CMR;472710
"	
Democratic Republic of the Congo"; Dem. Rep.;2267050
Congo; Rep.;341500
Colombia;COL;1109500
Comoros;COM;1861
Cabo Verde;CPV;4030
Costa Rica;CRI;51060
Caribbean small states;CSS;404850
Cuba;CUB;103800
Curacao;CUW;444
Cayman Islands;CYM;240
Cyprus;CYP;9240
Czech Republic;CZE;77200
Germany;DEU;349380
Djibouti;DJI;23180
Dominica;DMA;750
Denmark;DNK;40000
Dominican Republic;DOM;48310
Algeria;DZA;2381741
East Asia & Pacific (excluding high income);EAP;16019326.9
Early-demographic dividend;EAR;33317702.39
East Asia & Pacific;EAS;24502428.8
Europe & Central Asia (excluding high income);ECA;22396444.3
Europe & Central Asia;ECS;27447886.686
Ecuador;ECU;248360
Egypt; Arab Rep.;995450
Euro area;EMU;2682452.479
Eritrea;ERI;101000
Spain;ESP;499603.479
Estonia;EST;43470
Ethiopia;ETH;1129300.39
European Union;EUU;3999622.479
Fragile and conflict affected situations;FCS;19044550.838
Finland;FIN;303920
Fiji;FJI;18270
France;FRA;547557
Faroe Islands;FRO;1396
Micronesia; Fed. Sts.;700
Gabon;GAB;257670
United Kingdom;GBR;241930
Georgia;GEO;69490
Ghana;GHA;227540
Gibraltar;GIB;10
Guinea;GIN;245720
Gambia; The;10120
Guinea-Bissau;GNB;28120
Equatorial Guinea;GNQ;28050
Greece;GRC;128900
Grenada;GRD;340
Greenland;GRL;410450
Guatemala;GTM;107160
Guam;GUM;540
Guyana;GUY;196850
High income;HIC;35252625.286
Hong Kong SAR; China;1050
Honduras;HND;111890
Heavily indebted poor countries (HIPC);HPC;19357325.105
Croatia;HRV;56590
Haiti;HTI;27560
Hungary;HUN;91260
IBRD only;IBD;71071078.2
IDA & IBRD total;IBT;96060596.428
IDA total;IDA;24989518.228
IDA blend;IDB;4384525
Indonesia;IDN;1877519
IDA only;IDX;20604993.228
Isle of Man;IMN;570
India;IND;2973190
Not classified;INX;
Ireland;IRL;68890
Iran; Islamic Rep.;1628760
Iraq;IRQ;434128
Iceland;ISL;100830
Israel;ISR;21640
Italy;ITA;297730
Jamaica;JAM;10830
Jordan;JOR;88780
Japan;JPN;364500
Kazakhstan;KAZ;2699700
Kenya;KEN;569140
Kyrgyz Republic;KGZ;191800
Cambodia;KHM;176520
Kiribati;KIR;810
St. Kitts and Nevis;KNA;260
Korea; Rep.;97510
Kuwait;KWT;17820
Latin America & Caribbean (excluding high income);LAC;19018710
Lao PDR;LAO;230800
Lebanon;LBN;10230
Liberia;LBR;96320
Libya;LBY;1759540
St. Lucia;LCA;610
Latin America & Caribbean;LCN;20038977
Least developed countries: UN classification;LDC;20372993.228
Low income;LIC;15119922.228
Liechtenstein;LIE;160
Sri Lanka;LKA;61864
Lower middle income;LMC;21934361.3
Low & middle income;LMY;94696657.428
Lesotho;LSO;30360
Late-demographic dividend;LTE;44558553.2
Lithuania;LTU;62630
