"Distance quakes/tectonic_plates","Distance uniform_law/tectonic_plates"
114461.056311,731326.433625064
51827.5850051935,344312.935571107
56060.9837566908,1792645.38118389
30280.7435238659,1410022.18649131
39885.0851625961,214440.759932784
59578.9773503567,1271336.54462997
51314.8068176295,694455.807263346
21476.6907597047,1706236.27805542
106591.422350667,127760.711982934
395737.795932944,116928.14352267
381513.008824935,1815925.08142651
183903.649048509,880581.471007384
107039.565539648,934648.963443806
135172.027307007,1508886.10035041
324177.623400971,553419.857329725
4957.25872226282,1133278.86119623
71982.0201297765,1214051.45005809
63586.7796727683,648489.937239265
56935.0046584485,31122.7846956043
58932.1612376028,1604099.19109021
39539.9934157143,2343945.45550255
40126.4634837178,1377298.3299057
12025.9616663046,447492.207525342
82359.7359477201,1223183.28209044
48745.1062686136,802506.44124794
63075.8085434087,456224.826670549
104579.614861603,3488057.1050298
83601.8326525767,222277.622777137
52685.239858261,2718175.44595736
59279.5091721442,737262.040848897
56010.3189448453,1583208.85325458
59160.6370812521,3152964.46596872
17085.8555731177,185791.959134091
45538.5412124273,192400.474951368
58721.604737411,270201.800296036
115428.269149356,1772148.3275923
65865.4880711051,2261647.00455654
44352.2980580151,343825.994166801
66753.5126898056,2364106.76561481
48237.5652190805,664462.923139191
119866.487246875,2565083.29070289
43751.5807657686,2436789.99024575
75033.0526532627,231816.444650952
73148.4712946066,1230616.00342275
36341.6754785773,2072594.26710636
63789.7341923757,22207.7913723542
55979.9893582598,1244124.73321059
103342.5150717,2516521.15506772
85912.1065491386,1206656.30332246
47301.0019414618,2110589.08118088
180918.875248152,300011.086028081
87916.2752416983,570542.946336684
57960.9700906111,314192.053993582
61654.0659244711,1046725.3562586
127351.06180218,241570.2563178
171970.214970048,181437.189500915
89150.551174858,89260.5577091768
20420.69934948,1894449.78604128
203969.855751174,934733.676067486
8572.85932258716,45513.3163255616
103909.363515181,522362.265593887
36653.9156620542,485387.804592425
97912.4179195623,2780753.69123502
44864.9449184343,3253471.86911823
23473.3162660238,1640005.92028161
106581.930787587,267032.936293371
11129.052260425,584865.432042822
44923.7570117607,1833550.62695867
91390.95546041,363869.928669463
48251.1109686042,89536.4508052769
83938.8981133975,316578.283129822
87025.7683220507,81836.4468548591
190378.06204896,2117982.50281062
30512.9865591111,58628.925815294
85923.3843845697,35029.6732689479
46296.1570799962,1409817.94982927
73470.6814645594,221448.877835104
126728.195333633,2739269.29433816
48712.6936033337,922376.110181293
120433.418021948,227058.653099795
630851.750167056,715777.314624937
112775.006867913,858607.438978403
1855088.43716072,126811.005423215
101155.486767495,1485729.70167328
109172.202506537,1099469.31395969
35663.4266125192,99091.6102413344
9971.14227807919,3693769.49027616
247951.891957235,975964.295339203
74542.0236975299,497848.874969427
121035.980971676,2073025.98254372
82184.9422229045,719664.936416986
25797.0443691808,1007742.43089603
52824.7082196848,1620644.10002043
77598.43393748,399189.677873483
62721.186581872,122703.397723654
54747.4356174101,67771.7804674141
115638.724057517,262101.693079118
59539.0032814167,1119943.70675744
66293.8790351279,226969.11133262
109662.262926189,650905.394532808
145443.180952141,949297.801349795
130520.224861375,762481.191047828
32440.3777168649,264872.246994474
50348.252536468,37533.0339021333
21065.9815196891,777149.302776201
81819.3689346254,2136189.62111196
20731.0054035181,1376515.57115142
83549.9153649589,1578222.69306991
55820.4585391557,2820042.02151613
95004.0910983349,488947.027673026
40634.3943697254,1349445.36271206
136309.829050644,957795.349468634
46868.3079702071,858930.837759607
65204.8551720455,500090.093240015
50692.8991395988,727654.970704361
61816.3475458232,661991.614825424
27003.9189338471,1274035.43069197
208763.744879895,3063530.58411075
65753.5068160298,1234795.44144831
55259.5163490973,2461995.84275756
338380.797266568,2581998.89499516
340588.737910786,768687.740528548
34625.0048885942,1330561.55320053
962990.209994531,1147408.54682912
10867.0426040037,305976.779144563
81209.6167273444,892037.986155719
84768.3402735241,33733.5019710377
33707.136432541,996569.562633708
58007.8826166698,228017.029626585
64389.8655212873,17873.5149816256
84163.4784564935,416587.021021931
88710.2981791603,1252101.81655031
50278.4364866547,675574.157198246
49574.6708018566,1986619.72774474
54837.1309142333,1459012.91693072
46133.3215385436,110618.059618246
273188.184077656,925199.876370262
542502.970365595,94511.2887907507
